Designator,MidX,MidY,Layer,Rotation
C1,89.65,-40.15,top,180
C2,93.2,-43.45,top,180
C3,125.9,-34.05,top,0
C4,125.6,-43.15,top,0
C5,120.75,-43.6,top,0
C6,111.5,-22.75,top,0
C7,89.7,-37.7,top,180
C8,129.75,-40.55,top,0
C9,77.93125,-32.75,top,180
C10,143,-46.25,top,180
C11,56.25,-43,top,0
C12,163.25,-56.5,top,90
C13,69.38125,-36.5,top,-90
D2,78,-62.25,top,180
D3,107.197,-22.75,top,180
F1,76.25,-24.75,top,0
Q1,75.5,-27.75,top,0
Q2,71.5,-26.25,top,0
Q3,79.75,-27.95,top,90
R1,83,-39,top,180
R2,89.425,-47.8,top,180
R3,127.6,-46.65,top,0
R4,122.475,-48.15,top,0
R11,89.9,-25.25,top,180
R12,89.9,-26.95,top,180
R13,67.3875,-27.25,top,90
R14,89.9,-28.65,top,0
R15,89.8,-22.7375,top,-90
